PLATFORM,DEVICE_TYPE,AS1_VERSION,SCHEME,SDK
15.0,iPhone 13,6.10.5,One QA,iphonesimulator
15.0,iPhone SE (2nd generation),6.10.5,One QA,iphonesimulator
15.0,iPad (9th generation),6.10.5,One QA,iphonesimulator
15.0,iPad Air (5th generation),6.10.5,One QA,iphonesimulator
15.0,iPad Pro (12.9-inch) (5th generation),6.10.5,One QA,iphonesimulator
16.0,iPhone 12,6.10.5,One QA,iphonesimulator
16.0,iPhone 13,6.10.5,One QA,iphonesimulator
16.0,iPhone SE (2nd generation),6.10.5,One QA,iphonesimulator
16.0,iPad (9th generation),6.10.5,One QA,iphonesimulator
16.0,iPad Air (5th generation),6.10.5,One QA,iphonesimulator
16.0,iPad Pro (12.9-inch) (5th generation),6.10.5,One QA,iphonesimulator
17.0,iPhone 12,6.10.5,One QA,iphonesimulator
17.0,iPhone 13,6.10.5,One QA,iphonesimulator
17.0,iPhone SE (2nd generation),6.10.5,One QA,iphonesimulator
17.0,iPad (9th generation),6.10.5,One QA,iphonesimulator
17.0,iPad Air (5th generation),6.10.5,One QA,iphonesimulator
17.0,iPad Pro (12.9-inch) (5th generation),6.10.5,One QA,iphonesimulator
